,job_title,job_location,job_duration,date_posted
0,Principal Back End Software Engineer,IL-Chicago-TWP Engineering,Full time,2022-04-22
1,Senior Data Analyst,DC-Washington-TWP Headquarters,Full time,2022-04-22
2,Production HR Manager,VA-Springfield-TWP Plant,Full time,2022-04-22
3,Contract Technical Recruiter,DC-Washington-TWP Headquarters,Full time,2022-04-22
4,"Director, Head of West Coast Partnership Sales",Anywhere in U.S.,Full time,2022-04-22
5,Industrial Mechanic,VA-Springfield-TWP Plant,Full time,2022-04-22
6,Food Editorial Aide,DC-Washington-TWP Headquarters,Full time,2022-04-21
7,Features Photo Assignment Editor,DC-Washington-TWP Headquarters,Full time,2022-04-21
8,Software Engineer,DC-Washington-TWP Headquarters,Full time,2022-04-21
9,Systems Administrator (SaaS & Third-Party Applications),DC-Washington-TWP Headquarters,Full time,2022-04-21
10,Politics Opinions Editor,DC-Washington-TWP Headquarters,Full time,2022-04-21
11,Voices Across America Editor,DC-Washington-TWP Headquarters,Full time,2022-04-21
12,Economics and Business Opinions Editor,DC-Washington-TWP Headquarters,Full time,2022-04-21
13,"Publicist, Streaming and Social Platforms",DC-Washington-TWP Headquarters,Full time,2022-04-21
14,International Lifecycle Marketing Manager,UK-London CWS - WeWork,Full time,2022-04-21
15,Senior Payroll Specialist,DC-Washington-TWP Headquarters,Full time,2022-04-21
16,"Director, Digital Marketing",IL-Chicago-TWP Engineering,Full time,2022-04-21
17,"Senior Technical Architect, Financial Systems",DC-Washington-TWP Headquarters,Full time,2022-04-21
18,CDL Circulation Driver,VA-Springfield-TWP Plant,Part time,2022-04-21
19,Utility Worker,VA-Springfield-TWP Plant,Full time,2022-04-21
20,Utility Mailer,VA-Springfield-TWP Plant,Part time,2022-04-21
21,Zeus Prime Growth Director,DC-Washington-TWP Headquarters,Full time,2022-04-20
22,Climate & Weather Breaking News Video Producer/Editor,DC-Washington-TWP Headquarters,Full time,2022-04-20
23,"Manager, Financial Accounting",DC-Washington-TWP Headquarters,Full time,2022-04-20
24,Senior Financial Accountant,DC-Washington-TWP Headquarters,Full time,2022-04-20
25,Senior Financial Analyst,DC-Washington-TWP Headquarters,Full time,2022-04-20
26,"Senior Front End Software Engineer, Homepage",DC-Washington-TWP Headquarters,Full time,2022-04-20
